congress,chamber,rollnumber,icpsr,cast_code,prob
116,Senate,4,40304,1,56.1
116,Senate,4,40305,1,81.9
116,Senate,4,40700,6,99.1
116,Senate,4,40702,6,97.5
116,Senate,4,40703,6,98.9
116,Senate,4,40704,6,99.5
116,Senate,4,40707,1,90.9
116,Senate,4,40902,1,97.2
116,Senate,4,40906,6,98.7
116,Senate,4,40908,6,99.4
116,Senate,4,40909,6,97.8
116,Senate,4,40910,6,98.4
116,Senate,4,40915,6,81.0
116,Senate,4,40916,6,98.5
116,Senate,4,41101,6,99.7
116,Senate,4,41102,6,22.6
116,Senate,4,41104,1,80.0
116,Senate,4,41107,1,81.2
116,Senate,4,41110,1,81.8
116,Senate,4,41111,1,78.4
116,Senate,4,41112,6,99.7
116,Senate,4,41300,6,97.3
116,Senate,4,41301,6,99.7
116,Senate,4,41302,1,90.4
116,Senate,4,41304,1,84.1
116,Senate,4,41305,6,98.5
116,Senate,4,41308,6,99.8
116,Senate,4,41500,1,84.3
116,Senate,4,41501,1,83.3
116,Senate,4,41502,1,84.1
116,Senate,4,41503,6,14.6
116,Senate,4,41504,1,79.4
116,Senate,4,41505,1,76.4
116,Senate,4,41700,6,99.2
116,Senate,4,41701,6,99.8
116,Senate,4,41702,6,98.5
116,Senate,4,41703,6,8.0
116,Senate,4,41705,6,90.9
116,Senate,4,41706,6,99.6
116,Senate,4,41707,1,80.4
116,Senate,4,41900,1,97.6
116,Senate,4,41901,6,23.7
116,Senate,4,41902,1,93.1
116,Senate,4,41903,1,86.6
116,Senate,4,49300,6,99.0
116,Senate,4,49308,6,99.5
116,Senate,4,49703,6,83.7
116,Senate,4,49706,1,89.9
116,Senate,4,94659,1,92.6
116,Senate,5,14226,6,64.0
116,Senate,5,14307,1,99.4
116,Senate,5,14435,1,99.6
116,Senate,5,14852,6,71.6
116,Senate,5,14858,1,99.4
116,Senate,5,14871,1,99.2
116,Senate,5,14921,6,74.1
116,Senate,5,15015,1,97.6
116,Senate,5,15021,1,99.4
116,Senate,5,15408,1,99.3
116,Senate,5,15424,6,87.0
116,Senate,5,20101,1,17.1
116,Senate,5,20146,6,56.7
116,Senate,5,20330,1,99.5
116,Senate,5,20351,6,91.3
116,Senate,5,20707,1,99.0
116,Senate,5,20713,1,99.7
116,Senate,5,20735,9,99.6
116,Senate,5,20919,6,75.6
116,Senate,5,20923,1,98.7
116,Senate,5,20930,1,99.2
116,Senate,5,21112,1,22.1
116,Senate,5,21133,6,80.9
116,Senate,5,21166,6,91.0
116,Senate,5,21173,6,89.3
116,Senate,5,21300,1,94.0
116,Senate,5,21301,1,10.6
116,Senate,5,21325,1,99.2
116,Senate,5,21338,1,17.4
116,Senate,5,21350,6,83.6
116,Senate,5,21501,1,32.0
116,Senate,5,21743,1,98.2
116,Senate,5,29142,1,99.5
116,Senate,5,29147,1,99.7
116,Senate,5,29345,6,91.0
116,Senate,5,29373,1,99.5
116,Senate,5,29386,6,60.5
116,Senate,5,29389,1,99.6
116,Senate,5,29534,6,84.4
116,Senate,5,29548,6,76.8
116,Senate,5,29566,6,67.6
116,Senate,5,29722,1,17.1
116,Senate,5,29732,1,99.3
116,Senate,5,29735,6,86.2
116,Senate,5,29754,6,80.0
116,Senate,5,29909,6,73.6
116,Senate,5,29924,1,99.6
116,Senate,5,29935,6,81.4
116,Senate,5,29940,1,99.7
116,Senate,5,39310,1,99.1
116,Senate,5,40300,6,34.3
116,Senate,5,40304,6,56.2
116,Senate,5,40305,6,82.2
116,Senate,5,40700,1,99.0
116,Senate,5,40702,1,97.7
116,Senate,5,40703,1,98.9
116,Senate,5,40704,1,99.4
116,Senate,5,40707,6,91.0
116,Senate,5,40902,6,97.3
116,Senate,5,40906,1,98.6
116,Senate,5,40908,1,99.2
116,Senate,5,40909,1,97.8
116,Senate,5,40910,1,98.3
116,Senate,5,40915,1,83.0
116,Senate,5,40916,1,98.4
116,Senate,5,41101,1,99.6
116,Senate,5,41102,1,21.6
116,Senate,5,41104,6,81.5
116,Senate,5,41107,6,80.2
116,Senate,5,41110,6,83.3
116,Senate,5,41111,6,79.4
116,Senate,5,41112,1,99.6
116,Senate,5,41300,1,97.2
116,Senate,5,41301,1,99.6
116,Senate,5,41302,6,90.2
116,Senate,5,41304,6,85.4
116,Senate,5,41305,1,98.5
116,Senate,5,41308,1,99.7
116,Senate,5,41500,6,84.4
116,Senate,5,41501,6,84.0
116,Senate,5,41502,6,84.5
116,Senate,5,41503,1,13.5
116,Senate,5,41504,6,79.4
116,Senate,5,41505,6,76.2
116,Senate,5,41700,1,99.2
116,Senate,5,41701,1,99.7
116,Senate,5,41702,1,98.5
116,Senate,5,41703,1,7.9
116,Senate,5,41705,1,91.6
116,Senate,5,41706,1,99.5
116,Senate,5,41707,6,79.7
116,Senate,5,41900,6,97.8
116,Senate,5,41901,1,22.6
116,Senate,5,41902,6,92.6
116,Senate,5,41903,6,86.6
116,Senate,5,49300,1,98.9
116,Senate,5,49308,1,99.4
116,Senate,5,49703,1,83.2
116,Senate,5,49706,6,90.1
116,Senate,5,94659,6,92.1
116,Senate,6,14226,6,64.0
116,Senate,6,14307,1,99.5
116,Senate,6,14435,1,99.7
116,Senate,6,14852,6,71.2
